,health_exp,physicians,nurses,surgeons,pop_density,deaths,confirmed,recovered
Afghanistan,10.2,0.3,0.3,0.0,57.0,153.0,6053.0,745.0
Albania,6.7,1.2,3.6,11.6,105.0,31.0,916.0,705.0
Algeria,6.6,1.8,2.2,12.1,18.0,536.0,6629.0,3271.0
Andorra,10.4,3.3,4.0,83.1,164.0,49.0,761.0,604.0
Antigua and Barbuda,4.3,2.8,3.1,14.0,219.0,3.0,25.0,19.0
Argentina,7.5,4.0,2.6,50.1,16.0,356.0,7479.0,2497.0
Armenia,9.9,2.9,5.6,86.7,104.0,52.0,4044.0,1666.0
Australia,9.3,3.6,12.7,45.1,3.0,98.0,7035.0,6359.0
Austria,10.4,5.1,8.2,109.9,107.0,628.0,16109.0,14471.0
Azerbaijan,6.9,3.4,7.0,67.6,120.0,36.0,2980.0,1886.0
Bahrain,4.9,0.9,2.5,14.4,2017.0,12.0,6583.0,2640.0
Bangladesh,2.4,0.5,0.3,2.9,1240.0,298.0,20065.0,3882.0
Barbados,7.0,2.5,6.0,17.2,667.0,7.0,85.0,65.0
Belarus,6.3,4.1,11.4,124.2,47.0,156.0,27730.0,8807.0
Belgium,10.0,3.3,11.1,89.8,377.0,8959.0,54644.0,14301.0
Belize,6.1,1.1,1.7,10.5,17.0,2.0,18.0,10.0
Benin,3.9,0.2,0.6,1.9,102.0,2.0,339.0,16.0
Bhutan,3.5,0.4,1.5,2.9,20.0,0.0,21.0,83.0
Bolivia,6.9,1.6,0.7,33.9,10.0,164.0,3577.0,5.0
Bosnia and Herzegovina,9.2,2.0,6.3,32.3,65.0,128.0,2236.0,434.0
Botswana,5.5,0.4,3.3,3.6,4.0,1.0,24.0,0.0
Brazil,11.8,2.1,9.7,55.5,25.0,14962.0,220291.0,1336.0
Bulgaria,8.2,4.0,5.3,112.7,65.0,102.0,2138.0,135.0
Burkina Faso,6.8,0.1,0.6,0.6,72.0,51.0,780.0,545.0
Burundi,6.2,0.1,0.7,0.4,435.0,1.0,15.0,0.0
Cabo Verde,5.2,0.8,1.2,16.0,135.0,2.0,326.0,595.0
Cambodia,6.1,0.2,1.0,4.2,92.0,0.0,122.0,67.0
Cameroon,4.7,0.1,0.9,1.2,53.0,140.0,3105.0,122.0
Canada,10.5,2.6,9.9,43.9,4.0,5679.0,75959.0,59724.0
Central African Republic,4.3,0.1,0.2,0.4,7.0,0.0,301.0,252.0
Chad,4.5,0.0,0.4,0.3,12.0,48.0,428.0,145.0
Chile,8.5,1.1,0.9,59.3,25.0,394.0,39542.0,162.0
China,5.0,1.8,2.3,40.1,148.0,4637.0,84038.0,84186.0
Colombia,5.9,2.1,1.3,22.7,45.0,546.0,14216.0,5381.0
Democratic Republic of the Congo,3.9,0.1,0.5,0.2,37.0,50.0,1298.0,11.0
Republic of the Congo,4.6,0.1,1.7,0.2,15.0,15.0,391.0,187.0
Costa Rica,7.6,1.1,0.8,25.5,98.0,9.0,843.0,8959.0
Croatia,7.2,3.0,8.1,81.2,73.0,95.0,2222.0,15.0
Cuba,12.2,8.2,7.8,100.9,109.0,79.0,1840.0,3433.0
Cyprus,6.9,2.0,5.3,84.4,129.0,17.0,910.0,2799.0
Denmark,10.4,4.5,10.3,69.0,138.0,537.0,10989.0,984.0
Djibouti,3.5,0.2,0.5,4.4,41.0,4.0,1309.0,66.0
Dominica,5.3,1.1,5.9,11.3,96.0,0.0,16.0,14.0
Ecuador,8.4,2.1,1.2,59.4,69.0,2594.0,31467.0,15.0
El Salvador,7.0,1.6,2.3,22.3,310.0,25.0,1210.0,124.0
Estonia,6.7,3.5,6.5,65.0,30.0,63.0,1766.0,91.0
Eswatini,7.7,0.1,2.0,0.2,66.0,2.0,190.0,627.0
Ethiopia,4.0,0.1,0.8,0.5,109.0,5.0,287.0,18.0
Fiji,3.5,0.8,2.9,5.4,48.0,0.0,18.0,354.0
Finland,9.5,3.8,14.7,76.3,18.0,293.0,6228.0,6.0
France,11.5,3.2,9.7,58.6,122.0,27532.0,179612.0,213982.0
Georgia,8.4,5.1,4.1,130.4,65.0,12.0,671.0,43.0
Germany,11.1,4.2,13.2,108.0,237.0,7897.0,175233.0,29.0
Greece,8.5,4.6,3.4,163.5,83.0,160.0,2810.0,264.0
Grenada,5.2,1.4,3.1,12.6,328.0,0.0,22.0,690.0
Guatemala,5.8,0.4,0.9,3.4,161.0,30.0,1643.0,1287.0
Guyana,4.2,0.8,1.3,8.8,4.0,10.0,116.0,30258.0
Haiti,5.4,0.2,0.7,5.9,404.0,20.0,310.0,3803.0
Honduras,8.4,0.3,0.9,13.7,86.0,134.0,2460.0,2089.0
Hungary,7.4,3.2,6.6,55.7,108.0,442.0,3417.0,19470.0
Iceland,8.3,4.0,15.7,101.6,4.0,10.0,1802.0,12587.0
India,3.7,0.8,2.1,6.8,455.0,2753.0,85784.0,120205.0
Iraq,3.3,0.8,1.7,7.6,89.0,117.0,3193.0,401.0
Ireland,7.4,3.1,14.3,72.0,70.0,1518.0,23956.0,2707.0
Israel,7.3,3.2,5.2,75.6,411.0,266.0,16589.0,284.0
Italy,8.9,4.1,5.9,142.4,205.0,31610.0,223885.0,9851.0
Jamaica,6.1,1.3,1.1,11.2,271.0,9.0,511.0,3640.0
Japan,10.9,2.4,11.5,37.4,347.0,713.0,16203.0,745.0
Jordan,5.5,2.3,3.4,24.5,112.0,9.0,596.0,662.0
Kazakhstan,3.5,3.3,8.5,73.2,7.0,34.0,5689.0,246.0
Kenya,4.5,0.2,1.5,2.4,90.0,45.0,781.0,108.0
South Korea,7.3,2.4,7.0,49.6,530.0,262.0,11037.0,28.0
Latvia,6.2,3.2,4.8,67.6,31.0,19.0,970.0,3682.0
Lebanon,8.0,2.3,2.6,87.4,669.0,26.0,891.0,112.0
Lesotho,8.1,0.1,0.7,0.6,69.0,0.0,1.0,0.0
Liberia,9.6,0.0,0.1,0.6,50.0,20.0,219.0,5439.0
Lithuania,6.7,4.3,7.9,130.9,45.0,54.0,1523.0,455.0
Luxembourg,6.2,3.0,12.3,80.8,250.0,104.0,3923.0,458.0
Madagascar,6.0,0.2,0.1,0.8,45.0,0.0,238.0,7.0
Malawi,9.8,0.0,0.3,0.4,192.0,3.0,63.0,0.0
Malaysia,3.8,1.5,4.1,11.4,96.0,112.0,6855.0,322.0
Maldives,10.6,1.0,4.0,4.8,1719.0,4.0,1031.0,30451.0
Mali,3.8,0.1,0.4,1.1,16.0,46.0,806.0,6.0
Malta,9.3,3.8,9.0,113.5,1511.0,6.0,532.0,2228.0
Mauritius,5.7,2.0,3.4,17.6,623.0,10.0,332.0,20.0
Moldova,9.0,3.2,4.5,86.1,124.0,202.0,5745.0,3400.0
Monaco,1.7,6.6,20.3,195.6,19196.0,4.0,96.0,42.0
Mongolia,3.8,2.9,4.0,45.0,2.0,0.0,98.0,13.0
Montenegro,7.6,2.3,5.7,64.1,46.0,9.0,324.0,36.0
Morocco,5.8,0.7,1.1,3.7,81.0,190.0,6652.0,93.0
Mozambique,5.1,0.1,0.4,0.5,38.0,0.0,119.0,89.0
Myanmar,5.1,0.9,1.0,2.4,82.0,6.0,182.0,6.0
Namibia,9.1,0.4,2.8,6.1,3.0,0.0,16.0,14.0
Nepal,6.3,0.7,2.7,3.0,196.0,0.0,267.0,46.0
Netherlands,10.4,3.5,11.1,49.0,511.0,5662.0,43880.0,2119.0
New Zealand,9.2,3.0,11.0,43.0,19.0,21.0,1498.0,1320.0
Nicaragua,8.7,1.0,1.6,15.5,54.0,8.0,25.0,1251.0
Niger,6.2,0.1,0.3,0.4,18.0,51.0,885.0,32.0
Nigeria,3.6,0.4,1.5,1.4,215.0,171.0,5450.0,1350.0
North Macedonia,6.3,2.9,3.8,61.2,83.0,97.0,1740.0,10880.0
Norway,10.5,4.6,18.1,67.2,15.0,232.0,8219.0,6080.0
Oman,4.3,2.0,4.3,30.5,16.0,20.0,4625.0,8.0
Pakistan,2.8,1.0,0.5,5.5,275.0,834.0,38799.0,193.0
Panama,7.3,1.6,1.4,26.2,56.0,266.0,9268.0,27147.0
Papua New Guinea,2.0,0.1,0.5,2.3,19.0,0.0,8.0,2460.0
Paraguay,8.0,1.4,1.2,20.5,18.0,11.0,759.0,6918.0
Peru,5.1,1.3,1.4,42.9,25.0,2392.0,84495.0,3328.0
Philippines,4.4,1.3,0.2,9.6,358.0,806.0,12091.0,3546.0
Poland,6.5,2.4,5.7,67.9,124.0,907.0,18016.0,9370.0
Portugal,9.1,3.3,6.4,86.1,112.0,1190.0,28583.0,58226.0
Qatar,3.1,0.0,6.6,14.5,240.0,14.0,29425.0,177.0
Romania,5.0,2.3,6.1,60.5,85.0,1070.0,16437.0,14.0
Russia,5.3,4.0,8.6,63.1,9.0,2418.0,262843.0,18.0
Rwanda,6.8,0.1,0.8,0.8,499.0,0.0,287.0,14.0
San Marino,6.4,6.1,8.8,112.9,563.0,41.0,652.0,890.0
Senegal,5.5,0.1,0.3,1.1,82.0,25.0,2310.0,10.0
Serbia,9.1,3.1,6.1,86.7,80.0,225.0,10438.0,7248.0
Seychelles,3.9,0.9,3.3,48.6,210.0,0.0,11.0,1131.0
Sierra Leone,16.5,0.0,1.0,0.1,106.0,27.0,447.0,0.0
Singapore,4.5,2.3,7.2,31.5,7953.0,21.0,26891.0,270.0
Slovenia,8.5,3.0,9.7,66.7,103.0,103.0,1465.0,6083.0
South Africa,8.1,0.9,3.5,11.4,48.0,247.0,13524.0,477.0
Spain,9.0,4.1,5.5,79.9,94.0,27459.0,230183.0,205.0
Sri Lanka,3.9,1.0,2.1,2.8,346.0,9.0,935.0,9.0
Sweden,10.9,5.4,11.5,113.1,25.0,3646.0,29207.0,36.0
Switzerland,12.2,4.2,17.3,94.8,216.0,1878.0,30514.0,387.0
Tajikistan,7.0,1.7,5.2,41.7,66.0,33.0,1118.0,0.0
Tanzania,4.1,0.0,0.4,0.5,64.0,21.0,509.0,2854.0
Thailand,3.7,0.8,3.0,13.1,136.0,56.0,3025.0,24.0
Timor-Leste,4.0,0.7,1.7,0.9,85.0,0.0,24.0,6.0
Togo,6.6,0.0,0.3,0.5,145.0,11.0,263.0,96.0
Trinidad and Tobago,6.5,2.7,3.5,30.9,271.0,8.0,116.0,107.0
Tunisia,7.0,1.3,2.6,11.5,74.0,45.0,1035.0,802.0
Turkey,4.3,1.8,2.6,47.6,107.0,4055.0,146457.0,106133.0
Uganda,6.2,0.1,0.6,1.1,213.0,0.0,203.0,63.0
Ukraine,6.7,3.0,7.1,86.6,77.0,476.0,17330.0,4473.0
USA,17.1,2.6,8.6,54.7,36.0,87530.0,1442824.0,250747.0
Uruguay,9.1,5.0,1.9,38.9,20.0,19.0,732.0,553.0
Uzbekistan,6.3,2.4,12.1,50.4,77.0,11.0,2686.0,2158.0
Zambia,4.5,0.1,0.9,1.5,23.0,7.0,654.0,124.0
Zimbabwe,9.4,0.1,1.2,1.6,37.0,4.0,42.0,13.0
