Country,Physicians,Nurses,Specialist Surgical Workforce
Afghanistan,0.3,0.3,0
Albania,1.2,3.6,11.6
Algeria,1.8,2.2,12.1
American Samoa,..,..,..
Andorra,3.3,4,83.1
Angola,0.2,1.3,..
Antigua and Barbuda,2.8,3.1,14
Argentina,4,2.6,50.1
Armenia,2.9,5.6,86.7
Aruba,..,..,..
Australia,3.6,12.7,45.1
Austria,5.1,8.2,109.9
Azerbaijan,3.4,7,67.6
"Bahamas, The",1.9,3.1,..
Bahrain,0.9,2.5,14.4
Bangladesh,0.5,0.3,2.9
Barbados,2.5,6,17.2
Belarus,4.1,11.4,124.2
Belgium,3.3,11.1,89.8
Belize,1.1,1.7,10.5
Benin,0.2,0.6,1.9
Bermuda,..,..,..
Bhutan,0.4,1.5,2.9
Bolivia,1.6,0.7,33.9
Bosnia and Herzegovina,2,6.3,32.3
Botswana,0.4,3.3,3.6
Brazil,2.1,9.7,55.5
Brunei Darussalam,1.8,6.6,..
Bulgaria,4,5.3,112.7
Burkina Faso,0.1,0.6,0.6
Burundi,0.1,0.7,0.4
Cabo Verde,0.8,1.2,16
Cambodia,0.2,1,4.2
Cameroon,0.1,0.9,1.2
Canada,2.6,9.9,43.9
Cayman Islands,..,..,156.8
Central African Republic,0.1,0.2,0.4
Chad,0,0.4,0.3
Channel Islands,..,..,38.7
Chile,1.1,0.9,59.3
China,1.8,2.3,40.1
"Hong Kong SAR, China",..,..,27.8
"Macao SAR, China",..,..,..
Colombia,2.1,1.3,22.7
Comoros,0.2,0.9,..
"Congo, Dem. Rep.",0.1,0.5,0.2
"Congo, Rep.",0.1,1.7,0.2
Costa Rica,1.1,0.8,25.5
Cote d'Ivoire,0.2,0.9,2.8
Croatia,3,8.1,81.2
Cuba,8.2,7.8,100.9
Curacao,..,..,..
Cyprus,2,5.3,84.4
Czech Republic,4.3,8.4,124.5
Denmark,4.5,10.3,69
Djibouti,0.2,0.5,4.4
Dominica,1.1,5.9,11.3
Dominican Republic,1.6,0.3,..
Ecuador,2.1,1.2,59.4
"Egypt, Arab Rep.",0.8,1.4,50.1
El Salvador,1.6,2.3,22.3
Equatorial Guinea,0.4,0.5,..
Eritrea,..,..,0.4
Estonia,3.5,6.5,65
Eswatini,0.1,2,0.2
Ethiopia,0.1,0.8,0.5
Faroe Islands,..,..,..
Fiji,0.8,2.9,5.4
Finland,3.8,14.7,76.3
France,3.2,9.7,58.6
French Polynesia,..,..,32.6
Gabon,0.4,2.6,..
"Gambia, The",0.1,1.6,1.8
Georgia,5.1,4.1,130.4
Germany,4.2,13.2,108
Ghana,0.2,1.2,..
Greece,4.6,3.4,163.5
Greenland,..,..,..
Grenada,1.4,3.1,12.6
Guam,..,..,..
Guatemala,0.4,0.9,3.4
Guinea,0.1,0.4,..
Guinea-Bissau,0.2,1.4,..
Guyana,0.8,1.3,8.8
Haiti,0.2,0.7,5.9
Honduras,0.3,0.9,13.7
Hungary,3.2,6.6,55.7
Iceland,4,15.7,101.6
India,0.8,2.1,6.8
Indonesia,0.4,2.1,..
"Iran, Islamic Rep.",1.1,1.9,5
Iraq,0.8,1.7,7.6
Ireland,3.1,14.3,72
Isle of Man,1.4,2.3,52.4
Israel,3.2,5.2,75.6
Italy,4.1,5.9,142.4
Jamaica,1.3,1.1,11.2
Japan,2.4,11.5,37.4
Jordan,2.3,3.4,24.5
Kazakhstan,3.3,8.5,73.2
Kenya,0.2,1.5,2.4
Kiribati,0.2,4.8,8.2
"Korea, Dem. Peopleâ€™s Rep.",3.7,4.4,..
"Korea, Rep.",2.4,7,49.6
Kosovo,..,..,27.7
Kuwait,2.6,7,..
Kyrgyz Republic,1.9,6.4,50.1
Lao PDR,0.5,1,3.7
Latvia,3.2,4.8,67.6
Lebanon,2.3,2.6,87.4
Lesotho,0.1,0.7,0.6
Liberia,0,0.1,0.6
Libya,2.2,6.7,..
Liechtenstein,..,..,71.9
Lithuania,4.3,7.9,130.9
Luxembourg,3,12.3,80.8
Madagascar,0.2,0.1,0.8
Malawi,0,0.3,0.4
Malaysia,1.5,4.1,11.4
Maldives,1,4,4.8
Mali,0.1,0.4,1.1
Malta,3.8,9,113.5
Marshall Islands,0.5,3.5,15.9
Mauritania,0.2,1,..
Mauritius,2,3.4,17.6
Mexico,2.2,2.9,..
"Micronesia, Fed. Sts.",0.2,3.3,7
Moldova,3.2,4.5,86.1
Monaco,6.6,20.3,195.6
Mongolia,2.9,4,45
Montenegro,2.3,5.7,64.1
Morocco,0.7,1.1,3.7
Mozambique,0.1,0.4,0.5
Myanmar,0.9,1,2.4
Namibia,0.4,2.8,6.1
Nepal,0.7,2.7,3
Netherlands,3.5,11.1,49
New Caledonia,..,..,..
New Zealand,3,11,43
Nicaragua,1,1.6,15.5
Niger,0.1,0.3,0.4
Nigeria,0.4,1.5,1.4
North Macedonia,2.9,3.8,61.2
Northern Mariana Islands,..,..,..
Norway,4.6,18.1,67.2
Oman,2,4.3,30.5
Pakistan,1,0.5,5.5
Palau,1.2,5.3,..
Panama,1.6,1.4,26.2
Papua New Guinea,0.1,0.5,2.3
Paraguay,1.4,1.2,20.5
Peru,1.3,1.4,42.9
Philippines,1.3,0.2,9.6
Poland,2.4,5.7,67.9
Portugal,3.3,6.4,86.1
Puerto Rico,..,..,..
Qatar,0,6.6,14.5
Romania,2.3,6.1,60.5
Russian Federation,4,8.6,63.1
Rwanda,0.1,0.8,0.8
Samoa,0.3,1.9,1.6
San Marino,6.1,8.8,112.9
Sao Tome and Principe,0.3,2.3,..
Saudi Arabia,2.4,5.7,..
Senegal,0.1,0.3,1.1
Serbia,3.1,6.1,86.7
Seychelles,0.9,3.3,48.6
Sierra Leone,0,1,0.1
Singapore,2.3,7.2,31.5
Sint Maarten (Dutch part),..,..,..
Slovak Republic,2.5,9.2,53.9
Slovenia,3,9.7,66.7
Solomon Islands,0.2,2.1,2.5
Somalia,0,0.1,0.2
South Africa,0.9,3.5,11.4
South Sudan,..,..,0.3
Spain,4.1,5.5,79.9
Sri Lanka,1,2.1,2.8
St. Kitts and Nevis,2.5,4,33.5
St. Lucia,0.1,1.6,23.6
St. Martin (French part),..,..,..
St. Vincent and the Grenadines,0.7,2.6,23.6
Sudan,0.4,0.8,2.7
Suriname,1.2,4.1,..
Sweden,5.4,11.5,113.1
Switzerland,4.2,17.3,94.8
Syrian Arab Republic,1.2,1.5,..
Tajikistan,1.7,5.2,41.7
Tanzania,0,0.4,0.5
Thailand,0.8,3,13.1
Timor-Leste,0.7,1.7,0.9
Togo,0,0.3,0.5
Tonga,0.5,3.9,14
Trinidad and Tobago,2.7,3.5,30.9
Tunisia,1.3,2.6,11.5
Turkey,1.8,2.6,47.6
Turkmenistan,2.2,4.6,58.8
Turks and Caicos Islands,..,..,..
Tuvalu,0.9,3.8,26.1
Uganda,0.1,0.6,1.1
Ukraine,3,7.1,86.6
United Arab Emirates,2.4,5.6,..
United Kingdom,2.8,8.3,133.3
United States,2.6,8.6,54.7
Uruguay,5,1.9,38.9
Uzbekistan,2.4,12.1,50.4
Vanuatu,0.2,1.4,3.2
"Venezuela, RB",..,..,18.1
Vietnam,0.8,1.4,..
Virgin Islands (U.S.),..,..,..
West Bank and Gaza,..,..,..
"Yemen, Rep.",0.3,0.7,0.8
Zambia,0.1,0.9,1.5
Zimbabwe,0.1,1.2,1.6
